model_id,withdrawal_zone,TP,FP,FN,precision,recall,f1_score,support
logistic_blind_none,Zone_10,0,0,232,0.0,0.0,0.0,232
logistic_blind_balanced,Zone_01,27,330,221,0.0756,0.1089,0.0892,248
logistic_blind_balanced,Zone_02,19,336,296,0.0535,0.0603,0.0567,315
logistic_blind_balanced,Zone_03,27,300,337,0.0826,0.0742,0.0782,364
logistic_blind_balanced,Zone_04,26,212,493,0.1092,0.0501,0.0687,519
logistic_blind_balanced,Zone_05,16,437,137,0.0353,0.1046,0.0528,153
logistic_blind_balanced,Zone_06,17,500,151,0.0329,0.1012,0.0497,168
logistic_blind_balanced,Zone_07,115,242,972,0.3221,0.1058,0.1593,1087
logistic_blind_balanced,Zone_08,71,204,797,0.2582,0.0818,0.1242,868
logistic_blind_balanced,Zone_09,6,863,40,0.0069,0.1304,0.0131,46
logistic_blind_balanced,Zone_10,14,238,218,0.0556,0.0603,0.0579,232
knn_full,Zone_01,248,2,0,0.992,1.0,0.996,248
knn_full,Zone_02,315,1,0,0.9968,1.0,0.9984,315
knn_full,Zone_03,363,1,1,0.9973,0.9973,0.9973,364
knn_full,Zone_04,517,0,2,1.0,0.9961,0.998,519
knn_full,Zone_05,152,0,1,1.0,0.9935,0.9967,153
knn_full,Zone_06,151,1,17,0.9934,0.8988,0.9437,168
knn_full,Zone_07,899,169,188,0.8418,0.827,0.8343,1087
knn_full,Zone_08,716,189,152,0.7912,0.8249,0.8077,868
knn_full,Zone_09,41,0,5,1.0,0.8913,0.9425,46
knn_full,Zone_10,232,3,0,0.9872,1.0,0.9936,232
