model_id,actual_zone,predicted_zone,count,percentage_of_actual_zone
logistic_blind_none,Zone_02,Zone_07,226,71.75
logistic_blind_none,Zone_02,Zone_08,89,28.25
logistic_blind_none,Zone_02,Zone_09,0,0.0
logistic_blind_none,Zone_02,Zone_10,0,0.0
logistic_blind_none,Zone_03,Zone_01,0,0.0
logistic_blind_none,Zone_03,Zone_02,0,0.0
logistic_blind_none,Zone_03,Zone_03,0,0.0
logistic_blind_none,Zone_03,Zone_04,0,0.0
logistic_blind_none,Zone_03,Zone_05,0,0.0
logistic_blind_none,Zone_03,Zone_06,0,0.0
logistic_blind_none,Zone_03,Zone_07,277,76.1
logistic_blind_none,Zone_03,Zone_08,87,23.9
logistic_blind_none,Zone_03,Zone_09,0,0.0
logistic_blind_none,Zone_03,Zone_10,0,0.0
logistic_blind_none,Zone_04,Zone_01,0,0.0
logistic_blind_none,Zone_04,Zone_02,0,0.0
logistic_blind_none,Zone_04,Zone_03,0,0.0
logistic_blind_none,Zone_04,Zone_04,0,0.0
logistic_blind_none,Zone_04,Zone_05,0,0.0
logistic_blind_none,Zone_04,Zone_06,0,0.0
logistic_blind_none,Zone_04,Zone_07,399,76.88
logistic_blind_none,Zone_04,Zone_08,120,23.12
logistic_blind_none,Zone_04,Zone_09,0,0.0
logistic_blind_none,Zone_04,Zone_10,0,0.0
logistic_blind_none,Zone_05,Zone_01,0,0.0
logistic_blind_none,Zone_05,Zone_02,0,0.0
logistic_blind_none,Zone_05,Zone_03,0,0.0
logistic_blind_none,Zone_05,Zone_04,0,0.0
logistic_blind_none,Zone_05,Zone_05,0,0.0
logistic_blind_none,Zone_05,Zone_06,0,0.0
logistic_blind_none,Zone_05,Zone_07,108,70.59
logistic_blind_none,Zone_05,Zone_08,45,29.41
logistic_blind_none,Zone_05,Zone_09,0,0.0
logistic_blind_none,Zone_05,Zone_10,0,0.0
logistic_blind_none,Zone_06,Zone_01,0,0.0
logistic_blind_none,Zone_06,Zone_02,0,0.0
logistic_blind_none,Zone_06,Zone_03,0,0.0
logistic_blind_none,Zone_06,Zone_04,0,0.0
logistic_blind_none,Zone_06,Zone_05,0,0.0
logistic_blind_none,Zone_06,Zone_06,0,0.0
logistic_blind_none,Zone_06,Zone_07,128,76.19
logistic_blind_none,Zone_06,Zone_08,40,23.81
logistic_blind_none,Zone_06,Zone_09,0,0.0
logistic_blind_none,Zone_06,Zone_10,0,0.0
logistic_blind_none,Zone_07,Zone_01,0,0.0
logistic_blind_none,Zone_07,Zone_02,0,0.0
logistic_blind_none,Zone_07,Zone_03,0,0.0
logistic_blind_none,Zone_07,Zone_04,0,0.0
logistic_blind_none,Zone_07,Zone_05,0,0.0
logistic_blind_none,Zone_07,Zone_06,0,0.0
logistic_blind_none,Zone_07,Zone_07,869,79.94
logistic_blind_none,Zone_07,Zone_08,218,20.06
logistic_blind_none,Zone_07,Zone_09,0,0.0
logistic_blind_none,Zone_07,Zone_10,0,0.0
logistic_blind_none,Zone_08,Zone_01,0,0.0
logistic_blind_none,Zone_08,Zone_02,0,0.0
logistic_blind_none,Zone_08,Zone_03,0,0.0
logistic_blind_none,Zone_08,Zone_04,0,0.0
logistic_blind_none,Zone_08,Zone_05,0,0.0
logistic_blind_none,Zone_08,Zone_06,0,0.0
logistic_blind_none,Zone_08,Zone_07,624,71.89
logistic_blind_none,Zone_08,Zone_08,244,28.11
logistic_blind_none,Zone_08,Zone_09,0,0.0
logistic_blind_none,Zone_08,Zone_10,0,0.0
logistic_blind_none,Zone_09,Zone_01,0,0.0
logistic_blind_none,Zone_09,Zone_02,0,0.0
logistic_blind_none,Zone_09,Zone_03,0,0.0
logistic_blind_none,Zone_09,Zone_04,0,0.0
logistic_blind_none,Zone_09,Zone_05,0,0.0
logistic_blind_none,Zone_09,Zone_06,0,0.0
logistic_blind_none,Zone_09,Zone_07,30,65.22
logistic_blind_none,Zone_09,Zone_08,16,34.78
logistic_blind_none,Zone_09,Zone_09,0,0.0
logistic_blind_none,Zone_09,Zone_10,0,0.0
logistic_blind_none,Zone_10,Zone_01,0,0.0
logistic_blind_none,Zone_10,Zone_02,0,0.0
logistic_blind_none,Zone_10,Zone_03,0,0.0
logistic_blind_none,Zone_10,Zone_04,0,0.0
logistic_blind_none,Zone_10,Zone_05,0,0.0
logistic_blind_none,Zone_10,Zone_06,0,0.0
logistic_blind_none,Zone_10,Zone_07,177,76.29
logistic_blind_none,Zone_10,Zone_08,55,23.71
logistic_blind_none,Zone_10,Zone_09,0,0.0
logistic_blind_none,Zone_10,Zone_10,0,0.0
logistic_blind_balanced,Zone_01,Zone_01,27,10.89
logistic_blind_balanced,Zone_01,Zone_02,22,8.87
logistic_blind_balanced,Zone_01,Zone_03,22,8.87
logistic_blind_balanced,Zone_01,Zone_04,19,7.66
logistic_blind_balanced,Zone_01,Zone_05,24,9.68
logistic_blind_balanced,Zone_01,Zone_06,39,15.73
logistic_blind_balanced,Zone_01,Zone_07,21,8.47
logistic_blind_balanced,Zone_01,Zone_08,16,6.45
logistic_blind_balanced,Zone_01,Zone_09,45,18.15
logistic_blind_balanced,Zone_01,Zone_10,13,5.24
logistic_blind_balanced,Zone_02,Zone_01,31,9.84
logistic_blind_balanced,Zone_02,Zone_02,19,6.03
logistic_blind_balanced,Zone_02,Zone_03,28,8.89
logistic_blind_balanced,Zone_02,Zone_04,17,5.4
logistic_blind_balanced,Zone_02,Zone_05,42,13.33
logistic_blind_balanced,Zone_02,Zone_06,39,12.38
logistic_blind_balanced,Zone_02,Zone_07,27,8.57
logistic_blind_balanced,Zone_02,Zone_08,18,5.71
logistic_blind_balanced,Zone_02,Zone_09,74,23.49
logistic_blind_balanced,Zone_02,Zone_10,20,6.35
logistic_blind_balanced,Zone_03,Zone_01,31,8.52
logistic_blind_balanced,Zone_03,Zone_02,28,7.69
logistic_blind_balanced,Zone_03,Zone_03,27,7.42
logistic_blind_balanced,Zone_03,Zone_04,19,5.22
logistic_blind_balanced,Zone_03,Zone_05,47,12.91
logistic_blind_balanced,Zone_03,Zone_06,36,9.89
logistic_blind_balanced,Zone_03,Zone_07,34,9.34
logistic_blind_balanced,Zone_03,Zone_08,19,5.22
logistic_blind_balanced,Zone_03,Zone_09,94,25.82
logistic_blind_balanced,Zone_03,Zone_10,29,7.97
logistic_blind_balanced,Zone_04,Zone_01,46,8.86
logistic_blind_balanced,Zone_04,Zone_02,60,11.56
logistic_blind_balanced,Zone_04,Zone_03,46,8.86
logistic_blind_balanced,Zone_04,Zone_04,26,5.01
logistic_blind_balanced,Zone_04,Zone_05,53,10.21
logistic_blind_balanced,Zone_04,Zone_06,65,12.52
logistic_blind_balanced,Zone_04,Zone_07,51,9.83
logistic_blind_balanced,Zone_04,Zone_08,32,6.17
logistic_blind_balanced,Zone_04,Zone_09,110,21.19
logistic_blind_balanced,Zone_04,Zone_10,30,5.78
logistic_blind_balanced,Zone_05,Zone_01,8,5.23
logistic_blind_balanced,Zone_05,Zone_02,16,10.46
logistic_blind_balanced,Zone_05,Zone_03,11,7.19
logistic_blind_balanced,Zone_05,Zone_04,10,6.54
logistic_blind_balanced,Zone_05,Zone_05,16,10.46
logistic_blind_balanced,Zone_05,Zone_06,19,12.42
logistic_blind_balanced,Zone_05,Zone_07,6,3.92
